GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
moshi,server,Main,47,0,0,0,12,0,2,0,2,0
moshi,server,Server,0,89,0,2,0,29,0,7,0,6
moshi,handlers.csv,CSVLoadHandler.ErrorReadingFileResponse,39,0,0,0,5,0,6,0,6,0
moshi,handlers.csv,CSVLoadHandler,7,54,0,2,2,15,0,4,0,3
moshi,handlers.csv,CSVGetHandler.FileNotLoadedResponse,0,31,0,0,0,5,0,5,0,5
moshi,handlers.csv,CSVLoadHandler.SuccessReadingFileResponse,0,39,0,0,0,5,0,6,0,6
moshi,handlers.csv,CSVGetHandler,0,24,0,0,0,7,0,3,0,3
moshi,handlers.csv,RawCreator,0,5,0,0,0,2,0,2,0,2
moshi,handlers.csv,CSVGetHandler.GetFileResponse,0,38,0,0,0,5,0,6,0,6
moshi,handlers.csv,CSVLoadHandler.NoFilepathResponse,0,31,0,0,0,5,0,5,0,5
moshi,handlers.csv,CSVLoadHandler.InvalidFilepathResponse,0,39,0,0,0,5,0,6,0,6
moshi,handlers,BadEndpointHandler,0,10,0,0,0,2,0,2,0,2
moshi,handlers,BadEndpointHandler.BadEndpointResponse,0,32,0,0,0,5,0,5,0,5
moshi,csv,ParseBot,4,47,1,3,1,14,1,3,0,2
moshi,handlers.weather,WeatherHandler.NWSNoDataForCoordsResponse,0,45,0,0,0,5,0,7,0,7
moshi,handlers.weather,WeatherHandler.NoLatLonResponse,0,31,0,0,0,5,0,5,0,5
moshi,handlers.weather,WeatherHandler.NWSPoints,0,9,0,0,0,1,0,2,0,2
moshi,handlers.weather,WeatherHandler.LatLonNotFloatsResponse,0,45,0,0,0,5,0,7,0,7
moshi,handlers.weather,WeatherHandler.SuccessWeatherResponse,0,55,0,0,0,5,0,8,0,8
moshi,handlers.weather,WeatherHandler.NWSPHourlyProperties,0,9,0,0,0,1,0,2,0,2
moshi,handlers.weather,WeatherHandler,14,143,3,9,2,31,3,8,0,5
moshi,handlers.weather,WeatherHandler.NWSHourlyForecast,0,9,0,0,0,1,0,2,0,2
moshi,handlers.weather,WeatherHandler.UnspecifiedNWSErrorResponse,45,0,0,0,5,0,7,0,7,0
moshi,handlers.weather,WeatherHandler.NWSPeriod,0,9,0,0,0,1,0,2,0,2
moshi,handlers.weather,WeatherHandler.NWSPointsProperties,0,9,0,0,0,1,0,2,0,2
moshi,handlers.weather,WeatherHandler.InvalidCoordsResponse,0,45,0,0,0,5,0,7,0,7
moshi,server.storage,FileNotLoadedException,0,3,0,0,0,1,0,1,0,1
moshi,server.storage,Storage,0,17,0,2,0,6,0,4,0,3
moshi,csv.creator,FactoryFailureException,6,0,0,0,3,0,1,0,1,0
